sex,height,leg,chest,waist,hip,weight,age,arm,shoulder
1,173.6,79.1,32.4,29.9,32.3,72.1,25,59,41.4
1,183.3,84.8,35.7,36,36.9,106.2,28,66,43.4
1,174.4,79.4,29.7,26.5,32.1,69.1,19,57.6,39.3
1,175.1,76.7,30.3,25.4,32.5,68.4,20,58.1,40.5
1,185.1,85.9,32.1,31,33.8,81.9,22,61.5,44.1
1,178.1,79.8,34.2,38.2,35.7,93.5,23,61.5,43.4
1,183.8,83.2,34.4,31,36.3,99.6,24,63.2,46.3
1,191.5,89.5,33.5,28.9,34.2,86.7,24,64.6,45.4
1,172.9,77.7,33.5,29.6,33.6,74.7,27,57.3,43.7
1,163.9,75.5,32.5,28.2,32.6,72.5,26,55.6,40
1,176.9,81.1,32.1,27.3,32.9,66.1,20,59.2,43.2
1,175.1,82.7,31.5,27,33.6,79.4,26,60.5,40.9
1,173.6,82.4,32.2,29.5,33.8,80.8,20,57.6,42.5
1,185,85.9,32.7,30,35.4,80.3,28,62,45.6
1,167,76,30,27.5,32.2,70.6,23,57.1,41.3
1,172.9,77.5,31.3,27.5,33.4,69.8,26,57.5,41.5
1,171.8,78.9,29.7,27.4,31.8,64.4,21,58,39.6
1,183.5,84.9,34.2,31.1,35.1,86.1,25,61,41.1
1,172.4,82.9,31.6,27.6,32.5,73.6,21,59.6,43
1,164.5,74.5,27.3,24.9,30.9,58.6,25,57.4,39.8
1,178.6,81.5,33,31.1,34.4,75.2,28,60,42.7
1,176.4,80.7,33.9,33,36.3,85.5,60,59.2,42.5
1,168.6,76.4,29.1,25.7,31.7,60.8,19,57.5,40.5
1,176.5,82.1,30.7,28.3,32.7,69.8,22,59,39.8
1,176.4,81.8,31,26.4,31.5,68.3,24,60.3,40.2
1,175.1,80.3,31.7,31.6,33.7,80.7,20,62.4,39.6
1,176.6,80.9,29.9,27.3,33.7,71.9,19,60.5,41
1,173,81.2,32.3,30,32.7,81,23,62,42
1,179.4,84.3,33.7,35.1,38.4,102.1,21,64,45.4
1,172.4,76.1,30.2,25.8,33,68.2,22,57.5,41
1,175.7,81,32.2,30.9,35.7,78.5,26,62,42.2
1,175.5,83.9,28.8,27.2,32.6,63.4,19,58.4,39.4
1,169.9,80.8,29.3,25.4,30.9,62.1,18,58,39
1,167.8,77.5,29.6,27.8,33.2,68.7,26,56.4,39.8
1,180.4,81.9,30.2,27.9,33.6,65.6,23,59,41.8
1,172.2,78.8,30.8,28.5,33,69.2,24,57.2,39
1,177.7,79.6,32.1,31.8,35,80,22,59.1,44.3
1,175,79.6,32,27.4,33,77,26,58.5,42
1,177.3,84.9,32.4,29.4,33.4,73.2,25,64.4,43.1
1,181.8,87.1,32.5,26.4,32.1,74.8,25,59.9,45.7
1,177.8,80.6,33.4,33.1,35.4,94.9,28,60.5,44
1,178.6,83,30.2,28.4,32.8,72.8,26,58.5,38.7
1,177,82,31.5,28.2,33.9,74.1,27,59.6,41.8
1,176.5,83.1,30.6,28.2,32.5,78.3,26,60.5,42
2,156,69.8,27.1,24.2,31.6,50.1,20,53,34.2
2,154.4,68.4,26.3,22.1,31.8,46.1,31,51,35
2,160,74.2,26.8,25,34.3,56.4,19,55.6,38
2,165.6,76.6,27.8,26.6,34.4,57.8,21,58.2,38
2,166.1,75.8,31.2,30.1,36,76,55,56.6,39.9
2,166.9,76.8,27.4,24.4,33.4,54.9,22,56.7,37.1
2,162.1,75.1,26,24.8,33.9,52,45,55,36.8
2,165.7,76.6,27.8,23.2,32.5,51.7,27,55.2,37.3
2,171.1,77.6,28.9,29.1,34.7,65.4,22,60.2,37.5
2,163.7,74.8,25.4,21.4,31,45.3,20,54.2,36.2
2,153.9,71.8,28.7,27.5,32.5,57.8,55,53,35.6
2,155.1,73.5,28.6,28.3,33.4,55.3,56,55.9,36.2
2,156,71.5,26.7,22.4,30.8,50.8,19,53.5,36
2,157,72.8,26.8,24.5,31.1,46.7,44,53.5,37.5
2,162.6,73.2,29.7,29.5,35.1,66.2,60,57.3,38.5
2,149.4,67.9,27.5,28.4,33.7,55,64,51.7,35.5
2,169,82.3,24.8,23,30.7,47.9,20,59.1,35.8
1,172,83.4,28,25.1,32.5,62.5,16,61.2,40.5
1,165.7,77.6,26.8,25.8,34.2,59.2,16,54.5,36.1
1,173.6,79,31.1,27.9,33.6,68.6,16,59,39.8
1,162.6,74.7,26.9,26.2,31.5,55.8,16,57,37
1,174,79.4,32.2,30.9,35.4,76.7,16,61.1,41.8
